carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
hydrogen,alabama,florida,costVarExc,0.26,capaExcResi,100,expExcFix,0
hydrogen,alabama,georgia,costVarExc,0.21,capaExcResi,100,expExcFix,0
hydrogen,alabama,mississippi,costVarExc,0.32,capaExcResi,100,expExcFix,0
hydrogen,alabama,tennessee,costVarExc,0.37,capaExcResi,100,expExcFix,0
hydrogen,arizona,california,costVarExc,0.9,capaExcResi,100,expExcFix,0
hydrogen,arizona,colorado,costVarExc,0.83,capaExcResi,100,expExcFix,0
hydrogen,arizona,nevada,costVarExc,0.83,capaExcResi,100,expExcFix,0
hydrogen,arizona,newMexico,costVarExc,0.54,capaExcResi,100,expExcFix,0
hydrogen,arizona,noroeste,costVarExc,0.44,capaExcResi,100,expExcFix,0
hydrogen,arizona,utah,costVarExc,0.72,capaExcResi,100,expExcFix,0
hydrogen,arkansas,louisiana,costVarExc,0.43,capaExcResi,100,expExcFix,0
hydrogen,arkansas,mississippi,costVarExc,0.3,capaExcResi,100,expExcFix,0
hydrogen,arkansas,missouri,costVarExc,0.38,capaExcResi,100,expExcFix,0
hydrogen,arkansas,oklahoma,costVarExc,0.43,capaExcResi,100,expExcFix,0
hydrogen,arkansas,tennessee,costVarExc,0.46,capaExcResi,100,expExcFix,0
hydrogen,arkansas,texas,costVarExc,0.63,capaExcResi,100,expExcFix,0
hydrogen,bajaCalifornia,bajaCaliforniaSur,costVarExc,0.63,capaExcResi,100,expExcFix,0
hydrogen,bajaCalifornia,california,costVarExc,0.18,capaExcResi,100,expExcFix,0
hydrogen,bajaCalifornia,noroeste,costVarExc,0.06,capaExcResi,100,expExcFix,0
hydrogen,bajaCaliforniaSur,noroeste,costVarExc,0.19,capaExcResi,100,expExcFix,0
hydrogen,california,nevada,costVarExc,0.14,capaExcResi,100,expExcFix,0
hydrogen,california,oregon,costVarExc,0.64,capaExcResi,100,expExcFix,0
hydrogen,canada_,idaho,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,maine,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,michigan,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,minnesota,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,montana,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,newHampshire,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,newYork,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,northDakota,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,ohio,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,vermont,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,washington,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,canada_,wisconsin,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,central,occidental,costVarExc,0.16,capaExcResi,100,expExcFix,0
hydrogen,central,oriental,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,colorado,kansas,costVarExc,0.71,capaExcResi,100,expExcFix,0
hydrogen,colorado,nebraska,costVarExc,0.63,capaExcResi,100,expExcFix,0
hydrogen,colorado,newMexico,costVarExc,0.41,capaExcResi,100,expExcFix,0
hydrogen,colorado,oklahoma,costVarExc,0.72,capaExcResi,100,expExcFix,0
hydrogen,colorado,utah,costVarExc,0.53,capaExcResi,100,expExcFix,0
hydrogen,colorado,wyoming,costVarExc,0.14,capaExcResi,100,expExcFix,0
hydrogen,connecticut,massachusetts,costVarExc,0.13,capaExcResi,100,expExcFix,0
hydrogen,connecticut,newYork,costVarExc,0.12,capaExcResi,100,expExcFix,0
hydrogen,connecticut,rhodeIsland,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,delaware,maryland,costVarExc,0.08,capaExcResi,100,expExcFix,0
hydrogen,delaware,newJersey,costVarExc,0.12,capaExcResi,100,expExcFix,0
hydrogen,delaware,pennsylvania,costVarExc,0.15,capaExcResi,100,expExcFix,0
hydrogen,florida,georgia,costVarExc,0.33,capaExcResi,100,expExcFix,0
hydrogen,georgia,northCarolina,costVarExc,0.51,capaExcResi,100,expExcFix,0
hydrogen,georgia,southCarolina,costVarExc,0.28,capaExcResi,100,expExcFix,0
hydrogen,georgia,tennessee,costVarExc,0.31,capaExcResi,100,expExcFix,0
hydrogen,idaho,montana,costVarExc,0.41,capaExcResi,100,expExcFix,0
hydrogen,idaho,nevada,costVarExc,0.51,capaExcResi,100,expExcFix,0
hydrogen,idaho,oregon,costVarExc,0.5,capaExcResi,100,expExcFix,0
hydrogen,idaho,utah,costVarExc,0.42,capaExcResi,100,expExcFix,0
hydrogen,idaho,washington,costVarExc,0.57,capaExcResi,100,expExcFix,0
hydrogen,idaho,wyoming,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,illinois,indiana,costVarExc,0.26,capaExcResi,100,expExcFix,0
hydrogen,illinois,iowa,costVarExc,0.35,capaExcResi,100,expExcFix,0
hydrogen,illinois,kentucky,costVarExc,0.39,capaExcResi,100,expExcFix,0
hydrogen,illinois,michigan,costVarExc,0.48,capaExcResi,100,expExcFix,0
hydrogen,illinois,missouri,costVarExc,0.23,capaExcResi,100,expExcFix,0
hydrogen,illinois,wisconsin,costVarExc,0.33,capaExcResi,100,expExcFix,0
hydrogen,indiana,kentucky,costVarExc,0.18,capaExcResi,100,expExcFix,0
hydrogen,indiana,michigan,costVarExc,0.32,capaExcResi,100,expExcFix,0
hydrogen,indiana,ohio,costVarExc,0.24,capaExcResi,100,expExcFix,0
