timestep_2,carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2
all,power,alabama,florida,capaExcResiDir,1.15,costExpExc,222.9
all,power,alabama,georgia,capaExcResiDir,6.7,costExpExc,222.9
all,power,alabama,mississippi,capaExcResiDir,4.93,costExpExc,222.9
all,power,alabama,tennessee,capaExcResiDir,1.35,costExpExc,222.9
all,power,arizona,california,capaExcResiDir,2.95,costExpExc,222.9
all,power,arizona,nevada,capaExcResiDir,4.45,costExpExc,222.9
all,power,arizona,newMexico,capaExcResiDir,6.96,costExpExc,222.9
all,power,arizona,utah,capaExcResiDir,0.14,costExpExc,222.9
all,power,arkansas,louisiana,capaExcResiDir,4.1,costExpExc,222.9
all,power,arkansas,mississippi,capaExcResiDir,1.66,costExpExc,222.9
all,power,arkansas,missouri,capaExcResiDir,3.7,costExpExc,222.9
all,power,arkansas,oklahoma,capaExcResiDir,4.21,costExpExc,222.9
all,power,arkansas,tennessee,capaExcResiDir,1.02,costExpExc,222.9
all,power,arkansas,texas,capaExcResiDir,0.32,costExpExc,222.9
all,power,bajaCalifornia,california,capaExcResiDir,0.41,costExpExc,222.9
all,power,california,arizona,capaExcResiDir,2.95,costExpExc,222.9
all,power,california,bajaCalifornia,capaExcResiDir,0.41,costExpExc,222.9
all,power,california,nevada,capaExcResiDir,2.7,costExpExc,222.9
all,power,california,oregon,capaExcResiDir,7.14,costExpExc,222.9
all,power,canada_,maine,capaExcResiDir,2.333333333,costExpExc,222.9
all,power,canada_,michigan,capaExcResiDir,0.38,costExpExc,222.9
all,power,canada_,minnesota,capaExcResiDir,0.733333333,costExpExc,222.9
all,power,canada_,montana,capaExcResiDir,0.133333333,costExpExc,222.9
all,power,canada_,newYork,capaExcResiDir,1.266666667,costExpExc,222.9
all,power,canada_,northDakota,capaExcResiDir,0.146666667,costExpExc,222.9
all,power,canada_,vermont,capaExcResiDir,2.333333333,costExpExc,222.9
all,power,canada_,washington,capaExcResiDir,0.766666667,costExpExc,222.9
all,power,central,occidental,capaExcResiDir,4.2,costExpExc,222.9
all,power,central,oriental,capaExcResiDir,7,costExpExc,222.9
