carrier_1,timestep_2,parameter,value
hardcoal,2015,trdBuyPrc,5.18
hardcoal,2020,trdBuyPrc,5.29
hardcoal,2025,trdBuyPrc,5.22
hardcoal,2030,trdBuyPrc,5.18
hardcoal,2035,trdBuyPrc,4.9
hardcoal,2040,trdBuyPrc,4.64
hardcoal,2045,trdBuyPrc,4.36
hardcoal,2050,trdBuyPrc,4.1
lignite,2015,trdBuyPrc,2.59
lignite,2020,trdBuyPrc,2.65
lignite,2025,trdBuyPrc,2.61
lignite,2030,trdBuyPrc,2.59
lignite,2035,trdBuyPrc,2.45
lignite,2040,trdBuyPrc,2.32
lignite,2045,trdBuyPrc,2.18
lignite,2050,trdBuyPrc,2.05
gasNatural,2015,trdBuyPrc,12.77
gasNatural,2020,trdBuyPrc,13.25
gasNatural,2025,trdBuyPrc,14.63
gasNatural,2030,trdBuyPrc,15.57
gasNatural,2035,trdBuyPrc,16.65
gasNatural,2040,trdBuyPrc,17.42
gasNatural,2045,trdBuyPrc,18.42
gasNatural,2050,trdBuyPrc,20.15
nuclear,,trdBuyPrc,2.94
oil,2015,trdBuyPrc,25.51
oil,2020,trdBuyPrc,34.34
oil,2025,trdBuyPrc,38.37
oil,2030,trdBuyPrc,43.02
oil,2035,trdBuyPrc,46.88
oil,2040,trdBuyPrc,49.34
oil,2045,trdBuyPrc,50.99
oil,2050,trdBuyPrc,51.48
biomass,,trdBuyPrc,0.2
hydrogen,2030,trdBuyPrc,12.9
hydrogen,2050,trdBuyPrc,8.6
