region_1,region_2,carrier_1,timestep_2,parameter,value
mexico,bajaCalifornia,biomass,2015,useUp,2359.3
mexico,bajaCalifornia,biomass,2020,useUp,2567.12
mexico,bajaCalifornia,biomass,2025,useUp,2774.95
mexico,bajaCalifornia,biomass,2030,useUp,2982.77
mexico,bajaCalifornia,biomass,2035,useUp,3190.6
mexico,bajaCalifornia,biomass,2040,useUp,3398.42
mexico,bajaCalifornia,biomass,2045,useUp,3606.25
mexico,bajaCalifornia,biomass,2050,useUp,3814.07
mexico,bajaCaliforniaSur,biomass,2015,useUp,15990.79
mexico,bajaCaliforniaSur,biomass,2020,useUp,17399.38
mexico,bajaCaliforniaSur,biomass,2025,useUp,18807.97
mexico,bajaCaliforniaSur,biomass,2030,useUp,20216.56
mexico,bajaCaliforniaSur,biomass,2035,useUp,21625.15
mexico,bajaCaliforniaSur,biomass,2040,useUp,23033.74
mexico,bajaCaliforniaSur,biomass,2045,useUp,24442.33
mexico,bajaCaliforniaSur,biomass,2050,useUp,25850.92
mexico,central,biomass,2015,useUp,79691.79
mexico,central,biomass,2020,useUp,86711.65
mexico,central,biomass,2025,useUp,93731.51
mexico,central,biomass,2030,useUp,100751.38
mexico,central,biomass,2035,useUp,107771.24
mexico,central,biomass,2040,useUp,114791.1
mexico,central,biomass,2045,useUp,121810.96
mexico,central,biomass,2050,useUp,128830.82
mexico,noreste,biomass,2015,useUp,15553.88
mexico,noreste,biomass,2020,useUp,16923.99
mexico,noreste,biomass,2025,useUp,18294.09
mexico,noreste,biomass,2030,useUp,19664.19
mexico,noreste,biomass,2035,useUp,21034.3
mexico,noreste,biomass,2040,useUp,22404.4
mexico,noreste,biomass,2045,useUp,23774.51
mexico,noreste,biomass,2050,useUp,25144.61
mexico,noroeste,biomass,2015,useUp,5242.88
mexico,noroeste,biomass,2020,useUp,5704.71
mexico,noroeste,biomass,2025,useUp,6166.55
mexico,noroeste,biomass,2030,useUp,6628.38
mexico,noroeste,biomass,2035,useUp,7090.21
mexico,noroeste,biomass,2040,useUp,7552.05
mexico,noroeste,biomass,2045,useUp,8013.88
mexico,noroeste,biomass,2050,useUp,8475.71
mexico,norte,biomass,2015,useUp,15903.41
mexico,norte,biomass,2020,useUp,17304.3
mexico,norte,biomass,2025,useUp,18705.19
mexico,norte,biomass,2030,useUp,20106.09
mexico,norte,biomass,2035,useUp,21506.98
mexico,norte,biomass,2040,useUp,22907.87
mexico,norte,biomass,2045,useUp,24308.77
mexico,norte,biomass,2050,useUp,25709.66
mexico,occidental,biomass,2015,useUp,22020.1
mexico,occidental,biomass,2020,useUp,23959.8
mexico,occidental,biomass,2025,useUp,25899.5
mexico,occidental,biomass,2030,useUp,27839.2
mexico,occidental,biomass,2035,useUp,29778.89
mexico,occidental,biomass,2040,useUp,31718.59
mexico,occidental,biomass,2045,useUp,33658.29
mexico,occidental,biomass,2050,useUp,35597.99
mexico,oriental,biomass,2015,useUp,12014.94
mexico,oriental,biomass,2020,useUp,13073.3
mexico,oriental,biomass,2025,useUp,14131.67
mexico,oriental,biomass,2030,useUp,15190.04
mexico,oriental,biomass,2035,useUp,16248.4
mexico,oriental,biomass,2040,useUp,17306.77
mexico,oriental,biomass,2045,useUp,18365.14
mexico,oriental,biomass,2050,useUp,19423.51
mexico,peninsular,biomass,2015,useUp,5111.81
mexico,peninsular,biomass,2020,useUp,5562.1
mexico,peninsular,biomass,2025,useUp,6012.38
mexico,peninsular,biomass,2030,useUp,6462.67
mexico,peninsular,biomass,2035,useUp,6912.96
mexico,peninsular,biomass,2040,useUp,7363.24
mexico,peninsular,biomass,2045,useUp,7813.53
mexico,peninsular,biomass,2050,useUp,8263.82
usa,alabama,biomass,2015,useUp,30870.97
usa,alabama,biomass,2020,useUp,33917.29
usa,alabama,biomass,2025,useUp,37264.23
usa,alabama,biomass,2030,useUp,40941.43
usa,alabama,biomass,2035,useUp,44981.5
usa,alabama,biomass,2040,useUp,49420.24
