region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
mexico,bajaCalifornia,res,solar,q1n,avaConv,0
mexico,bajaCalifornia,res,solar,q1m,avaConv,0.073625926
mexico,bajaCalifornia,res,solar,q1p,avaConv,0.583268056
mexico,bajaCalifornia,res,solar,q1a,avaConv,0.058933518
mexico,bajaCalifornia,res,solar,q2n,avaConv,0
mexico,bajaCalifornia,res,solar,q2m,avaConv,0.055274074
mexico,bajaCalifornia,res,solar,q2p,avaConv,0.614668056
mexico,bajaCalifornia,res,solar,q2a,avaConv,0.175816667
mexico,bajaCalifornia,res,solar,q3n,avaConv,0
mexico,bajaCalifornia,res,solar,q3m,avaConv,0.048201465
mexico,bajaCalifornia,res,solar,q3p,avaConv,0.562733516
mexico,bajaCalifornia,res,solar,q3a,avaConv,0.150131868
mexico,bajaCalifornia,res,solar,q4n,avaConv,0
mexico,bajaCalifornia,res,solar,q4m,avaConv,0.16240293
mexico,bajaCalifornia,res,solar,q4p,avaConv,0.533729023
mexico,bajaCalifornia,res,solar,q4a,avaConv,0.020630037
mexico,bajaCaliforniaSur,res,solar,q1n,avaConv,0
mexico,bajaCaliforniaSur,res,solar,q1m,avaConv,0.03462963
mexico,bajaCaliforniaSur,res,solar,q1p,avaConv,0.612251389
mexico,bajaCaliforniaSur,res,solar,q1a,avaConv,0.106911111
mexico,bajaCaliforniaSur,res,solar,q2n,avaConv,0
mexico,bajaCaliforniaSur,res,solar,q2m,avaConv,0.008951852
mexico,bajaCaliforniaSur,res,solar,q2p,avaConv,0.556872222
mexico,bajaCaliforniaSur,res,solar,q2a,avaConv,0.266545706
mexico,bajaCaliforniaSur,res,solar,q3n,avaConv,0
mexico,bajaCaliforniaSur,res,solar,q3m,avaConv,0.004871795
mexico,bajaCaliforniaSur,res,solar,q3p,avaConv,0.509248626
mexico,bajaCaliforniaSur,res,solar,q3a,avaConv,0.238598901
mexico,bajaCaliforniaSur,res,solar,q4n,avaConv,0
mexico,bajaCaliforniaSur,res,solar,q4m,avaConv,0.073003663
mexico,bajaCaliforniaSur,res,solar,q4p,avaConv,0.530017857
mexico,bajaCaliforniaSur,res,solar,q4a,avaConv,0.059764706
mexico,central,res,solar,q1n,avaConv,0
mexico,central,res,solar,q1m,avaConv,0.032885185
mexico,central,res,solar,q1p,avaConv,0.590841667
mexico,central,res,solar,q1a,avaConv,0.120261111
mexico,central,res,solar,q2n,avaConv,0
mexico,central,res,solar,q2m,avaConv,0.003044444
mexico,central,res,solar,q2p,avaConv,0.478606944
mexico,central,res,solar,q2a,avaConv,0.203634349
mexico,central,res,solar,q3n,avaConv,0
mexico,central,res,solar,q3m,avaConv,0.001619048
mexico,central,res,solar,q3p,avaConv,0.442149725
mexico,central,res,solar,q3a,avaConv,0.15646978
mexico,central,res,solar,q4n,avaConv,0
mexico,central,res,solar,q4m,avaConv,0.087135531
mexico,central,res,solar,q4p,avaConv,0.596482143
mexico,central,res,solar,q4a,avaConv,0.073018382
mexico,noreste,res,solar,q1n,avaConv,0
mexico,noreste,res,solar,q1m,avaConv,0.026648148
mexico,noreste,res,solar,q1p,avaConv,0.550625
mexico,noreste,res,solar,q1a,avaConv,0.099286111
mexico,noreste,res,solar,q2n,avaConv,0
mexico,noreste,res,solar,q2m,avaConv,0.007448148
mexico,noreste,res,solar,q2p,avaConv,0.471436111
mexico,noreste,res,solar,q2a,avaConv,0.218886427
mexico,noreste,res,solar,q3n,avaConv,0
mexico,noreste,res,solar,q3m,avaConv,0.00378022
