technology_4,timestep_2,parameter_1,value_1,parameter_2,value_2,comment
chpBiomass_,2015,costExpConv,1213.39,costOprConv,27.91,"expansion and operating costs for conversion and storage (notice different parameter names here) power capacity, note that values refer to input capacity"
chpBiomass_,2020,costExpConv,1091.06,costOprConv,25.09,
chpBiomass_,2025,costExpConv,1039.82,costOprConv,23.92,
chpBiomass_,2030,costExpConv,988.57,costOprConv,22.74,
chpBiomass_,2035,costExpConv,948.89,costOprConv,21.82,
chpBiomass_,2040,costExpConv,909.22,costOprConv,20.91,
chpBiomass_,2045,costExpConv,874.5,costOprConv,20.11,
chpBiomass_,2050,costExpConv,839.79,costOprConv,19.32,
chpBiomassCcs,2015,costExpConv,1690.04,costOprConv,38.87,
chpBiomassCcs,2020,costExpConv,1519.65,costOprConv,34.95,
chpBiomassCcs,2025,costExpConv,1448.27,costOprConv,33.31,
chpBiomassCcs,2030,costExpConv,1376.9,costOprConv,31.67,
chpBiomassCcs,2035,costExpConv,1321.64,costOprConv,30.4,
chpBiomassCcs,2040,costExpConv,1266.38,costOprConv,29.13,
chpBiomassCcs,2045,costExpConv,1218.02,costOprConv,28.01,
chpBiomassCcs,2050,costExpConv,680,costOprConv,26.9,
chpGas,,costExpConv,570.4,costOprConv,14.28,
chpHardcoal,,costExpConv,825.2,costOprConv,20.63,
chpLignite,,costExpConv,813,costOprConv,20.325,
chpNuclear,,costExpConv,2236.11,costOprConv,46.96,
chpOil,2015,costExpConv,321.97,costOprConv,3.45,
chpOil,2020,costExpConv,310.65,costOprConv,3.37,
chpOil,2025,costExpConv,299.33,costOprConv,3.3,
chpOil,2030,costExpConv,288,costOprConv,3.22,
chpOil,2035,costExpConv,276.68,costOprConv,3.15,
chpOil,2040,costExpConv,265.36,costOprConv,3.08,
chpOil,2045,costExpConv,254.04,costOprConv,3,
chpOil,2050,costExpConv,242.72,costOprConv,2.93,
dBatteryLi-ion,2015,costExpStIn,490,costOprStIn,0.69,
dBatteryLi-ion,2020,costExpStIn,170,costOprStIn,0.34,
dBatteryLi-ion,2025,costExpStIn,155,costOprStIn,0.31,
dBatteryLi-ion,2030,costExpStIn,140,costOprStIn,0.28,
dBatteryLi-ion,2035,costExpStIn,140,costOprStIn,0.28,
dBatteryLi-ion,2040,costExpStIn,140,costOprStIn,0.28,
dBatteryLi-ion,2045,costExpStIn,140,costOprStIn,0.28,
dBatteryLi-ion,2050,costExpStIn,140,costOprStIn,0.28,
dBatteryRedox,2015,costExpStIn,1240,costOprStIn,24.8,
dBatteryRedox,2020,costExpStIn,810,costOprStIn,16.2,
dBatteryRedox,2025,costExpStIn,770,costOprStIn,15.4,
dBatteryRedox,2030,costExpStIn,730,costOprStIn,14.6,
dBatteryRedox,2035,costExpStIn,520,costOprStIn,10.4,
dBatteryRedox,2040,costExpStIn,310,costOprStIn,6.2,
dBatteryRedox,2045,costExpStIn,310,costOprStIn,6.2,
dBatteryRedox,2050,costExpStIn,310,costOprStIn,6.2,
dCaes,2015,costExpStIn,600,costOprStIn,7.8,
dCaes,2020,costExpStIn,600,costOprStIn,7.8,
dCaes,2025,costExpStIn,565,costOprStIn,7.35,
dCaes,2030,costExpStIn,530,costOprStIn,6.89,
dCaes,2035,costExpStIn,520,costOprStIn,6.76,
dCaes,2040,costExpStIn,510,costOprStIn,6.63,
dCaes,2045,costExpStIn,480,costOprStIn,6.24,
dCaes,2050,costExpStIn,450,costOprStIn,5.85,
dGasH2,2015,costExpStIn,600,costOprStIn,7.8,
dGasH2,2020,costExpStIn,600,costOprStIn,7.8,
dGasH2,2025,costExpStIn,565,costOprStIn,7.35,
dGasH2,2030,costExpStIn,530,costOprStIn,6.89,
dGasH2,2035,costExpStIn,520,costOprStIn,6.76,
dGasH2,2040,costExpStIn,510,costOprStIn,6.63,
dGasH2,2045,costExpStIn,480,costOprStIn,6.24,
dGasH2,2050,costExpStIn,450,costOprStIn,5.85,
dGasMethane,2015,costExpStIn,600,costOprStIn,7.8,
dGasMethane,2020,costExpStIn,600,costOprStIn,7.8,
dGasMethane,2025,costExpStIn,565,costOprStIn,7.35,
dGasMethane,2030,costExpStIn,530,costOprStIn,6.89,
dGasMethane,2035,costExpStIn,520,costOprStIn,6.76,
dGasMethane,2040,costExpStIn,510,costOprStIn,6.63,
dGasMethane,2045,costExpStIn,480,costOprStIn,6.24,
dGasMethane,2050,costExpStIn,450,costOprStIn,5.85,
dHeat,,costExpStIn,1200,costOprStIn,2.4,
dPhs,,costExpStIn,1500,costOprStIn,22.5,
frtRailConv,2015,costExpConv,20.62,costOprConv,20.62,
frtRailConv,2020,costExpConv,20.33,costOprConv,20.33,
frtRailConv,2025,costExpConv,20.03,costOprConv,20.03,
frtRailConv,2030,costExpConv,19.74,costOprConv,19.74,
frtRailConv,2035,costExpConv,19.44,costOprConv,19.44,
frtRailConv,2040,costExpConv,19.15,costOprConv,19.15,
frtRailConv,2045,costExpConv,18.85,costOprConv,18.85,
frtRailConv,2050,costExpConv,18.56,costOprConv,18.56,
frtRailElectric,2015,costExpConv,60.33,costOprConv,60.33,
frtRailElectric,2020,costExpConv,55.59,costOprConv,55.59,
frtRailElectric,2025,costExpConv,50.85,costOprConv,50.85,
frtRailElectric,2030,costExpConv,46.11,costOprConv,46.11,
frtRailElectric,2035,costExpConv,41.37,costOprConv,41.37,
frtRailElectric,2040,costExpConv,36.63,costOprConv,36.63,
frtRailElectric,2045,costExpConv,31.89,costOprConv,31.89,
frtRailElectric,2050,costExpConv,27.15,costOprConv,27.15,
frtRoadBev,2015,costExpConv,32.71,costOprConv,32.71,
frtRoadBev,2020,costExpConv,32.04,costOprConv,32.04,
