timestep_1,technology_4,mode,parameter,value
,chpBiomass_,,effConv,0.33
2020,chpBiomassCcs,,effConv,0.276
2025,chpBiomassCcs,,effConv,0.276
2030,chpBiomassCcs,,effConv,0.2384
2035,chpBiomassCcs,,effConv,0.23562
2040,chpBiomassCcs,,effConv,0.23222
2045,chpBiomassCcs,,effConv,0.23171
2050,chpBiomassCcs,,effConv,0.2312
,chpGas,,effConv,0.587
,chpHardcoal,,effConv,0.408
,chpLignite,,effConv,0.408
,chpNuclear,,effConv,0.38
,chpOil,,effConv,0.39
,frtRailConv,,effConv,5.656
,frtRailElectric,,effConv,11.476
,frtRoadBev,,effConv,1.691
,frtRoadH2,,effConv,1.695
,frtRoadIce,useOil,effConv,1.622
,frtRoadIce,useBiomass,effConv,1.352
,frtRoadOh,,effConv,10.447
,frtRoadPhev,useOil,effConv,1.528
,frtRoadPhev,useBiomass,effConv,1.376
,frtShipBio,,effConv,10.101
,frtShipConv,,effConv,8.783
,hhtBiomass,,effConv,0.84
,hhtElectricFurnace,,effConv,0.98
,hhtGas,,effConv,0.865
,hhtGeothermal,,effConv,3.7
,hhtH2,,effConv,0.5
,hhtHardcoal,,effConv,0.728
,hhtLignite,,effConv,0.728
,hhtOil,,effConv,0.85
,hltBiomass,,effConv,0.84
,hltHardcoal,,effConv,0.728
,hltLignite,,effConv,0.728
,hltElectricFurnace,,effConv,0.98
,hltGas,,effConv,0.865
,hltGeothermal,,effConv,3.8
,hltHeatpump,,effConv,3.3
,hltOil,,effConv,0.85
,pBiomass_,,effConv,0.6
2020,pBiomassCcs,,effConv,0.283064
2025,pBiomassCcs,,effConv,0.283064
2030,pBiomassCcs,,effConv,0.24436
2035,pBiomassCcs,,effConv,0.240618
2040,pBiomassCcs,,effConv,0.236318
2045,pBiomassCcs,,effConv,0.23528
2050,pBiomassCcs,,effConv,0.2312
,pGas,,effConv,0.596
,pHardcoal,,effConv,0.466
,pLignite,,effConv,0.456
,pNuclear,,effConv,0.38
,pOil,,effConv,0.39
,psngAirBio,,effConv,0.852
,psngAirConv,,effConv,0.741
,psngAirH2,,effConv,0.949
,psngRailConv,,effConv,1.378
,psngRailElectric,,effConv,2.872
,psngRoadBev,,effConv,3.141
,psngRoadH2,,effConv,2.58
,psngRoadIce,useOil,effConv,0.785
,psngRoadIce,useBiomass,effConv,0.765
,psngRoadPhev,useOil,effConv,1.436
,psngRoadPhev,useBiomass,effConv,1.293
,xElectrolysis,,effConv,0.67
,xFuelCell,onlyPower,effConv,0.5
,xFuelCell,someHeat,effConv,0.39
,xMethanation,useBiomass,effConv,0.663
,xMethanation,useHydrogen,effConv,0.489
,resGeothermal,,effConv,0.365
,resHydroLarge,,effConv,0.32
,resHydroSmall,,effConv,0.37
,pHydrogen,,effConv,0.596
