technology_4,parameter,value
chpBiomass_,lifeConv,31
chpHardcoal,lifeConv,31
chpLignite,lifeConv,31
chpGas,lifeConv,31
chpNuclear,lifeConv,41
dBatteryLi-ion,lifeStIn,11
dBatteryRedox,lifeStIn,20
dGasH2,lifeStIn,40
dGasMethane,lifeStIn,40
dHeat,lifeStIn,30
dPhs,lifeStIn,40
dCaes,lifeStIn,30
frtRailConv,lifeConv,26
frtRailElectric,lifeConv,31
frtRoadBev,lifeConv,21
frtRoadH2,lifeConv,21
frtRoadIce,lifeConv,21
frtRoadPhev,lifeConv,26
frtRoadOh,lifeConv,26
frtShipBio,lifeConv,31
frtShipConv,lifeConv,31
hhtBiomass,lifeConv,31
hhtHardcoal,lifeConv,31
hhtLignite,lifeConv,31
hhtElectricFurnace,lifeConv,31
hhtGas,lifeConv,31
hhtGeothermal,lifeConv,31
hhtOil,lifeConv,21
hhtH2,lifeConv,21
hltBiomass,lifeConv,31
hltHardcoal,lifeConv,16
hltLignite,lifeConv,16
hltElectricFurnace,lifeConv,31
hltGas,lifeConv,26
hltGeothermal,lifeConv,41
hltHeatpump,lifeConv,31
hltOil,lifeConv,21
hltPvRooftopCommercial,lifeConv,21
hltPvRooftopResidential,lifeConv,21
pBiomass_,lifeConv,31
pHardcoal,lifeConv,31
pLignite,lifeConv,31
pGas,lifeConv,31
pNuclear,lifeConv,41
pOil,lifeConv,31
psngAirBio,lifeConv,16
psngAirConv,lifeConv,16
psngAirH2,lifeConv,16
psngRailConv,lifeConv,26
psngRailElectric,lifeConv,31
psngRoadBev,lifeConv,16
psngRoadH2,lifeConv,21
psngRoadIce,lifeConv,21
psngRoadPhev,lifeConv,21
resCsp,lifeConv,31
resGeothermal,lifeConv,41
resHydroLarge,lifeConv,81
resHydroSmall,lifeConv,81
resOcean,lifeConv,21
resPvRooftopCommercial,lifeConv,21
resPvRooftopResidential,lifeConv,21
resPvUtilityAvg,lifeConv,21
resPvUtilityInf,lifeConv,21
resPvUtilityOpt,lifeConv,21
resWindOffshoreTransitional,lifeConv,21
resWindOffshoreShallow,lifeConv,21
resWindOffshoreDeep,lifeConv,21
resWindOnshoreAvg,lifeConv,21
resWindOnshoreInf,lifeConv,21
resWindOnshoreOpt,lifeConv,21
xElectrolysis,lifeConv,11
xFuelCell,lifeConv,11
xMethanation,lifeConv,11
chpBiomassCcs,lifeConv,31
pBiomassCcs,lifeConv,31
chpOil,lifeConv,31
pHydrogen,lifeConv,31
