region_2,carrier_1,timestep_2,technology_1,technology_2,parameter,value
alabama,mobilityFreight,2015,frtRail,,genLow,23301.6
alabama,mobilityFreight,2020,frtRail,,genLow,25404
alabama,mobilityFreight,2025,frtRail,,genLow,28032
alabama,mobilityFreight,2030,frtRail,,genLow,30835.2
alabama,mobilityFreight,2035,frtRail,,genLow,33813.6
alabama,mobilityFreight,2040,frtRail,,genLow,37142.4
alabama,mobilityFreight,2045,frtRail,,genLow,40821.6
alabama,mobilityFreight,2050,frtRail,,genLow,44851.2
alaska,mobilityFreight,2015,frtRail,,genLow,175.2
alaska,mobilityFreight,2020,frtRail,,genLow,175.2
alaska,mobilityFreight,2025,frtRail,,genLow,175.2
alaska,mobilityFreight,2030,frtRail,,genLow,175.2
alaska,mobilityFreight,2035,frtRail,,genLow,350.4
alaska,mobilityFreight,2040,frtRail,,genLow,350.4
alaska,mobilityFreight,2045,frtRail,,genLow,350.4
alaska,mobilityFreight,2050,frtRail,,genLow,350.4
arizona,mobilityFreight,2015,frtRail,,genLow,11212.8
arizona,mobilityFreight,2020,frtRail,,genLow,12264
arizona,mobilityFreight,2025,frtRail,,genLow,13490.4
arizona,mobilityFreight,2030,frtRail,,genLow,14716.8
arizona,mobilityFreight,2035,frtRail,,genLow,16293.6
arizona,mobilityFreight,2040,frtRail,,genLow,17870.4
arizona,mobilityFreight,2045,frtRail,,genLow,19622.4
arizona,mobilityFreight,2050,frtRail,,genLow,21549.6
arkansas,mobilityFreight,2015,frtRail,,genLow,12789.6
arkansas,mobilityFreight,2020,frtRail,,genLow,14191.2
arkansas,mobilityFreight,2025,frtRail,,genLow,15592.8
arkansas,mobilityFreight,2030,frtRail,,genLow,17169.6
arkansas,mobilityFreight,2035,frtRail,,genLow,18746.4
arkansas,mobilityFreight,2040,frtRail,,genLow,20673.6
arkansas,mobilityFreight,2045,frtRail,,genLow,22776
arkansas,mobilityFreight,2050,frtRail,,genLow,25053.6
bajaCalifornia,mobilityFreight,2015,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2020,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2025,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2030,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2035,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2040,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2045,frtRail,,genLow,0
bajaCalifornia,mobilityFreight,2050,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2015,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2020,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2025,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2030,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2035,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2040,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2045,frtRail,,genLow,0
bajaCaliforniaSur,mobilityFreight,2050,frtRail,,genLow,0
california,mobilityFreight,2015,frtRail,,genLow,66050.4
california,mobilityFreight,2020,frtRail,,genLow,72532.8
california,mobilityFreight,2025,frtRail,,genLow,79716
california,mobilityFreight,2030,frtRail,,genLow,87600
california,mobilityFreight,2035,frtRail,,genLow,96184.8
california,mobilityFreight,2040,frtRail,,genLow,105645.6
california,mobilityFreight,2045,frtRail,,genLow,116157.6
california,mobilityFreight,2050,frtRail,,genLow,127720.8
canada_,mobilityFreight,2015,frtRail,,genLow,87074.4
canada_,mobilityFreight,2020,frtRail,,genLow,95659.2
canada_,mobilityFreight,2025,frtRail,,genLow,105120
canada_,mobilityFreight,2030,frtRail,,genLow,115456.8
canada_,mobilityFreight,2035,frtRail,,genLow,126844.8
canada_,mobilityFreight,2040,frtRail,,genLow,139459.2
canada_,mobilityFreight,2045,frtRail,,genLow,153124.8
canada_,mobilityFreight,2050,frtRail,,genLow,168367.2
central,mobilityFreight,2015,frtRail,,genLow,1401.6
central,mobilityFreight,2020,frtRail,,genLow,1576.8
central,mobilityFreight,2025,frtRail,,genLow,1752
central,mobilityFreight,2030,frtRail,,genLow,2102.4
central,mobilityFreight,2035,frtRail,,genLow,2277.6
central,mobilityFreight,2040,frtRail,,genLow,2628
central,mobilityFreight,2045,frtRail,,genLow,2978.4
central,mobilityFreight,2050,frtRail,,genLow,3504
colorado,mobilityFreight,2015,frtRail,,genLow,16293.6
colorado,mobilityFreight,2020,frtRail,,genLow,17870.4
colorado,mobilityFreight,2025,frtRail,,genLow,19622.4
colorado,mobilityFreight,2030,frtRail,,genLow,21724.8
colorado,mobilityFreight,2035,frtRail,,genLow,23827.2
colorado,mobilityFreight,2040,frtRail,,genLow,26104.8
colorado,mobilityFreight,2045,frtRail,,genLow,28732.8
colorado,mobilityFreight,2050,frtRail,,genLow,31536
connecticut,mobilityFreight,2015,frtRail,,genLow,3328.8
connecticut,mobilityFreight,2020,frtRail,,genLow,3504
connecticut,mobilityFreight,2025,frtRail,,genLow,3854.4
connecticut,mobilityFreight,2030,frtRail,,genLow,4380
connecticut,mobilityFreight,2035,frtRail,,genLow,4905.6
connecticut,mobilityFreight,2040,frtRail,,genLow,5256
connecticut,mobilityFreight,2045,frtRail,,genLow,5781.6
connecticut,mobilityFreight,2050,frtRail,,genLow,6482.4
delaware,mobilityFreight,2015,frtRail,,genLow,2452.8
delaware,mobilityFreight,2020,frtRail,,genLow,2803.2
delaware,mobilityFreight,2025,frtRail,,genLow,3153.6
delaware,mobilityFreight,2030,frtRail,,genLow,3504
delaware,mobilityFreight,2035,frtRail,,genLow,3854.4
delaware,mobilityFreight,2040,frtRail,,genLow,4204.8
delaware,mobilityFreight,2045,frtRail,,genLow,4555.2
delaware,mobilityFreight,2050,frtRail,,genLow,5080.8
florida,mobilityFreight,2015,frtRail,,genLow,23301.6
florida,mobilityFreight,2020,frtRail,,genLow,25579.2
florida,mobilityFreight,2025,frtRail,,genLow,28207.2
florida,mobilityFreight,2030,frtRail,,genLow,30835.2
florida,mobilityFreight,2035,frtRail,,genLow,33988.8
florida,mobilityFreight,2040,frtRail,,genLow,37317.6
florida,mobilityFreight,2045,frtRail,,genLow,40996.8
florida,mobilityFreight,2050,frtRail,,genLow,45026.4
georgia,mobilityFreight,2015,frtRail,,genLow,29083.2
georgia,mobilityFreight,2020,frtRail,,genLow,31886.4
georgia,mobilityFreight,2025,frtRail,,genLow,35040
georgia,mobilityFreight,2030,frtRail,,genLow,38544
georgia,mobilityFreight,2035,frtRail,,genLow,42398.4
georgia,mobilityFreight,2040,frtRail,,genLow,46428
georgia,mobilityFreight,2045,frtRail,,genLow,51158.4
georgia,mobilityFreight,2050,frtRail,,genLow,56239.2
idaho,mobilityFreight,2015,frtRail,,genLow,9811.2
idaho,mobilityFreight,2020,frtRail,,genLow,10687.2
idaho,mobilityFreight,2025,frtRail,,genLow,11738.4
idaho,mobilityFreight,2030,frtRail,,genLow,12964.8
idaho,mobilityFreight,2035,frtRail,,genLow,14191.2
idaho,mobilityFreight,2040,frtRail,,genLow,15768
idaho,mobilityFreight,2045,frtRail,,genLow,17344.8
idaho,mobilityFreight,2050,frtRail,,genLow,18921.6
illinois,mobilityFreight,2015,frtRail,,genLow,78314.4
illinois,mobilityFreight,2020,frtRail,,genLow,86023.2
illinois,mobilityFreight,2025,frtRail,,genLow,94608
illinois,mobilityFreight,2030,frtRail,,genLow,104068.8
illinois,mobilityFreight,2035,frtRail,,genLow,114230.4
illinois,mobilityFreight,2040,frtRail,,genLow,125443.2
illinois,mobilityFreight,2045,frtRail,,genLow,138057.6
illinois,mobilityFreight,2050,frtRail,,genLow,151548
indiana,mobilityFreight,2015,frtRail,,genLow,25404
indiana,mobilityFreight,2020,frtRail,,genLow,28032
indiana,mobilityFreight,2025,frtRail,,genLow,30660
indiana,mobilityFreight,2030,frtRail,,genLow,33813.6
indiana,mobilityFreight,2035,frtRail,,genLow,37142.4
indiana,mobilityFreight,2040,frtRail,,genLow,40821.6
indiana,mobilityFreight,2045,frtRail,,genLow,44851.2
indiana,mobilityFreight,2050,frtRail,,genLow,49231.2
iowa,mobilityFreight,2015,frtRail,,genLow,36792
iowa,mobilityFreight,2020,frtRail,,genLow,40471.2
iowa,mobilityFreight,2025,frtRail,,genLow,44500.8
iowa,mobilityFreight,2030,frtRail,,genLow,48880.8
iowa,mobilityFreight,2035,frtRail,,genLow,53786.4
iowa,mobilityFreight,2040,frtRail,,genLow,59042.4
iowa,mobilityFreight,2045,frtRail,,genLow,64824
iowa,mobilityFreight,2050,frtRail,,genLow,71306.4
kansas,mobilityFreight,2015,frtRail,,genLow,26630.4
kansas,mobilityFreight,2020,frtRail,,genLow,29258.4
kansas,mobilityFreight,2025,frtRail,,genLow,32236.8
kansas,mobilityFreight,2030,frtRail,,genLow,35390.4
kansas,mobilityFreight,2035,frtRail,,genLow,38894.4
kansas,mobilityFreight,2040,frtRail,,genLow,42748.8
kansas,mobilityFreight,2045,frtRail,,genLow,46953.6
kansas,mobilityFreight,2050,frtRail,,genLow,51508.8
kentucky,mobilityFreight,2015,frtRail,,genLow,24703.2
kentucky,mobilityFreight,2020,frtRail,,genLow,27156
kentucky,mobilityFreight,2025,frtRail,,genLow,29959.2
kentucky,mobilityFreight,2030,frtRail,,genLow,32762.4
kentucky,mobilityFreight,2035,frtRail,,genLow,36091.2
kentucky,mobilityFreight,2040,frtRail,,genLow,39770.4
kentucky,mobilityFreight,2045,frtRail,,genLow,43449.6
kentucky,mobilityFreight,2050,frtRail,,genLow,47829.6
louisiana,mobilityFreight,2015,frtRail,,genLow,51508.8
louisiana,mobilityFreight,2020,frtRail,,genLow,56589.6
louisiana,mobilityFreight,2025,frtRail,,genLow,62196
louisiana,mobilityFreight,2030,frtRail,,genLow,68328
louisiana,mobilityFreight,2035,frtRail,,genLow,74985.6
louisiana,mobilityFreight,2040,frtRail,,genLow,82519.2
louisiana,mobilityFreight,2045,frtRail,,genLow,90578.4
louisiana,mobilityFreight,2050,frtRail,,genLow,99513.6
maine,mobilityFreight,2015,frtRail,,genLow,1401.6
maine,mobilityFreight,2020,frtRail,,genLow,1401.6
maine,mobilityFreight,2025,frtRail,,genLow,1576.8
maine,mobilityFreight,2030,frtRail,,genLow,1752
maine,mobilityFreight,2035,frtRail,,genLow,1927.2
maine,mobilityFreight,2040,frtRail,,genLow,2277.6
maine,mobilityFreight,2045,frtRail,,genLow,2452.8
maine,mobilityFreight,2050,frtRail,,genLow,2628
maryland,mobilityFreight,2015,frtRail,,genLow,8059.2
maryland,mobilityFreight,2020,frtRail,,genLow,8935.2
maryland,mobilityFreight,2025,frtRail,,genLow,9811.2
maryland,mobilityFreight,2030,frtRail,,genLow,10687.2
