timestep_2,region_1,region_2,technology_4,parameter,value,comment
all,mexico,bajaCalifornia,resWindOffshoreShallow,capaConvUp,0,multiplied values for rooftop with a factor of 6 to correct for efficiencies
all,mexico,bajaCalifornia,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,bajaCalifornia,resWindOffshoreDeep,capaConvUp,0,
all,mexico,bajaCalifornia,resOcean,capaConvUp,0.509,
all,mexico,bajaCalifornia,resGeothermal,capaConvUp,3.773,
all,mexico,bajaCalifornia,dPhs,capaStInUp,0.167,
all,mexico,bajaCalifornia,resPvUtilityAvg,capaConvUp,146.978,
all,mexico,bajaCalifornia,hltPvRooftopCommercial,capaConvUp,916.668,
all,mexico,bajaCalifornia,hltPvRooftopResidential,capaConvUp,152.506,
all,mexico,bajaCalifornia,resPvRooftopResidential,capaConvUp,1913.439,
all,mexico,bajaCalifornia,resPvRooftopCommercial,capaConvUp,5050.262,
all,mexico,bajaCalifornia,pBiomass_,capaConvUp,1815.134,
all,mexico,bajaCalifornia,pBiomassCcs,capaConvUp,429.413,
all,mexico,bajaCaliforniaSur,resWindOffshoreShallow,capaConvUp,113.666,
all,mexico,bajaCaliforniaSur,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,bajaCaliforniaSur,resWindOffshoreDeep,capaConvUp,0,
all,mexico,bajaCaliforniaSur,resOcean,capaConvUp,0,
all,mexico,bajaCaliforniaSur,resGeothermal,capaConvUp,0.151,
all,mexico,bajaCaliforniaSur,dPhs,capaStInUp,0.167,
all,mexico,bajaCaliforniaSur,resPvUtilityAvg,capaConvUp,152.778,
all,mexico,central,resWindOffshoreShallow,capaConvUp,0,
all,mexico,central,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,central,resWindOffshoreDeep,capaConvUp,0,
all,mexico,central,resOcean,capaConvUp,0,
all,mexico,central,resGeothermal,capaConvUp,0.472,
all,mexico,central,dPhs,capaStInUp,0.007,
all,mexico,central,resPvUtilityAvg,capaConvUp,25.418,
all,mexico,noreste,resWindOffshoreShallow,capaConvUp,0,
all,mexico,noreste,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,noreste,resWindOffshoreDeep,capaConvUp,0,
all,mexico,noreste,resOcean,capaConvUp,0,
all,mexico,noreste,resGeothermal,capaConvUp,0.027,
all,mexico,noreste,dPhs,capaStInUp,0.688,
all,mexico,noreste,resPvUtilityAvg,capaConvUp,318.907,
all,mexico,noroeste,resWindOffshoreShallow,capaConvUp,0,
all,mexico,noroeste,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,noroeste,resWindOffshoreDeep,capaConvUp,0,
all,mexico,noroeste,resOcean,capaConvUp,0,
all,mexico,noroeste,resGeothermal,capaConvUp,0.01,
all,mexico,noroeste,dPhs,capaStInUp,0.08,
all,mexico,noroeste,resPvUtilityAvg,capaConvUp,841.71,
all,mexico,norte,resWindOffshoreShallow,capaConvUp,0,
all,mexico,norte,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,norte,resWindOffshoreDeep,capaConvUp,0,
all,mexico,norte,resOcean,capaConvUp,0,
all,mexico,norte,resGeothermal,capaConvUp,0.249,
all,mexico,norte,dPhs,capaStInUp,0.351,
all,mexico,norte,resPvUtilityAvg,capaConvUp,1815.134,
all,mexico,occidental,resWindOffshoreShallow,capaConvUp,0,
all,mexico,occidental,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,occidental,resWindOffshoreDeep,capaConvUp,0,
all,mexico,occidental,resOcean,capaConvUp,0,
all,mexico,occidental,resGeothermal,capaConvUp,2.6,
all,mexico,occidental,dPhs,capaStInUp,0.383,
all,mexico,occidental,resPvUtilityAvg,capaConvUp,429.413,
all,mexico,oriental,resWindOffshoreShallow,capaConvUp,0,
all,mexico,oriental,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,oriental,resWindOffshoreDeep,capaConvUp,0,
all,mexico,oriental,resOcean,capaConvUp,0,
all,mexico,oriental,resGeothermal,capaConvUp,0.308,
all,mexico,oriental,dPhs,capaStInUp,1.451,
all,mexico,oriental,resPvUtilityAvg,capaConvUp,369.87,
all,mexico,peninsular,resWindOffshoreShallow,capaConvUp,0,
all,mexico,peninsular,resWindOffshoreTransitional,capaConvUp,0,
all,mexico,peninsular,resWindOffshoreDeep,capaConvUp,0,
all,mexico,peninsular,resOcean,capaConvUp,0,
all,mexico,peninsular,resGeothermal,capaConvUp,0,
all,mexico,peninsular,dPhs,capaStInUp,0,
all,mexico,peninsular,resPvUtilityAvg,capaConvUp,113.666,
all,mexico,bajaCalifornia,resWindOnshoreAvg,capaConvUp,159.02,
all,mexico,bajaCaliforniaSur,resWindOnshoreAvg,capaConvUp,67.526,
all,mexico,central,resWindOnshoreAvg,capaConvUp,33.05,
all,mexico,noreste,resWindOnshoreAvg,capaConvUp,339.484,
all,mexico,noroeste,resWindOnshoreAvg,capaConvUp,85.741,
all,mexico,norte,resWindOnshoreAvg,capaConvUp,418.627,
all,mexico,occidental,resWindOnshoreAvg,capaConvUp,110.06,
all,mexico,oriental,resWindOnshoreAvg,capaConvUp,188.883,
all,mexico,peninsular,resWindOnshoreAvg,capaConvUp,175.9,
all,usa,alabama,resWindOnshoreAvg,capaConvUp,0.118,
all,usa,alaska,resWindOnshoreAvg,capaConvUp,493.346,
all,usa,arizona,resWindOnshoreAvg,capaConvUp,10.904,
all,usa,arkansas,resWindOnshoreAvg,capaConvUp,9.2,
all,usa,california,resWindOnshoreAvg,capaConvUp,34.11,
all,usa,colorado,resWindOnshoreAvg,capaConvUp,387.219,
all,usa,connecticut,resWindOnshoreAvg,capaConvUp,0.027,
all,usa,delaware,resWindOnshoreAvg,capaConvUp,0.01,
all,usa,florida,resWindOnshoreAvg,capaConvUp,0,
