region_1,region_2,technology_4,timestep_2,parameter,value,comment
mexico,bajaCalifornia,resGeothermal,2015,capaConvResi,0.221,"residual capacities are noted in input capacities, therefore original vlaues had to corrected for average efficiency"
mexico,bajaCalifornia,resGeothermal,2020,capaConvResi,0.199,
mexico,bajaCalifornia,resGeothermal,2025,capaConvResi,0.179,
mexico,bajaCalifornia,resGeothermal,2030,capaConvResi,0.161,
mexico,bajaCalifornia,resGeothermal,2035,capaConvResi,0.145,
mexico,bajaCalifornia,resGeothermal,2040,capaConvResi,0.131,
mexico,bajaCalifornia,resGeothermal,2045,capaConvResi,0.117,
mexico,bajaCalifornia,resGeothermal,2050,capaConvResi,0.106,
mexico,occidental,pBiomass_,2015,capaConvResi,0.341,
mexico,occidental,pBiomass_,2020,capaConvResi,0.255,
mexico,occidental,pBiomass_,2025,capaConvResi,0.192,
mexico,occidental,pBiomass_,2030,capaConvResi,0.144,
mexico,occidental,pBiomass_,2035,capaConvResi,0.108,
mexico,noreste,pHardcoal,2015,capaConvResi,3.135,
mexico,noreste,pHardcoal,2020,capaConvResi,2.665,
mexico,noreste,pHardcoal,2025,capaConvResi,2.265,
mexico,noreste,pHardcoal,2030,capaConvResi,1.925,
mexico,noreste,pHardcoal,2035,capaConvResi,1.637,
mexico,noreste,pHardcoal,2040,capaConvResi,1.391,
mexico,bajaCalifornia,pGas,2015,capaConvResi,4.412,
mexico,bajaCalifornia,pGas,2020,capaConvResi,3.751,
mexico,bajaCalifornia,pGas,2025,capaConvResi,3.188,
mexico,bajaCalifornia,pGas,2030,capaConvResi,2.71,
mexico,bajaCalifornia,pGas,2035,capaConvResi,2.303,
mexico,bajaCalifornia,pGas,2040,capaConvResi,1.958,
mexico,central,pGas,2015,capaConvResi,3.135,
mexico,central,pGas,2020,capaConvResi,2.665,
mexico,central,pGas,2025,capaConvResi,2.265,
mexico,central,pGas,2030,capaConvResi,1.925,
mexico,central,pGas,2035,capaConvResi,1.636,
mexico,central,pGas,2040,capaConvResi,1.391,
mexico,noreste,pGas,2015,capaConvResi,9.009,
mexico,noreste,pGas,2020,capaConvResi,7.657,
mexico,noreste,pGas,2025,capaConvResi,6.509,
mexico,noreste,pGas,2030,capaConvResi,5.533,
mexico,noreste,pGas,2035,capaConvResi,4.703,
mexico,noreste,pGas,2040,capaConvResi,3.997,
mexico,noroeste,pGas,2015,capaConvResi,5.909,
mexico,noroeste,pGas,2020,capaConvResi,5.023,
mexico,noroeste,pGas,2025,capaConvResi,4.269,
mexico,noroeste,pGas,2030,capaConvResi,3.629,
mexico,noroeste,pGas,2035,capaConvResi,3.085,
mexico,noroeste,pGas,2040,capaConvResi,2.622,
mexico,norte,pGas,2015,capaConvResi,10.156,
mexico,norte,pGas,2020,capaConvResi,8.633,
mexico,norte,pGas,2025,capaConvResi,7.338,
mexico,norte,pGas,2030,capaConvResi,6.237,
mexico,norte,pGas,2035,capaConvResi,5.302,
mexico,norte,pGas,2040,capaConvResi,4.506,
mexico,occidental,pGas,2015,capaConvResi,4.885,
mexico,occidental,pGas,2020,capaConvResi,4.152,
mexico,occidental,pGas,2025,capaConvResi,3.53,
mexico,occidental,pGas,2030,capaConvResi,3,
mexico,occidental,pGas,2035,capaConvResi,2.55,
mexico,occidental,pGas,2040,capaConvResi,2.168,
mexico,oriental,pGas,2015,capaConvResi,9.252,
mexico,oriental,pGas,2020,capaConvResi,7.864,
mexico,oriental,pGas,2025,capaConvResi,6.684,
mexico,oriental,pGas,2030,capaConvResi,5.682,
mexico,oriental,pGas,2035,capaConvResi,4.829,
mexico,oriental,pGas,2040,capaConvResi,4.105,
mexico,peninsular,pGas,2015,capaConvResi,3.509,
mexico,peninsular,pGas,2020,capaConvResi,2.983,
mexico,peninsular,pGas,2025,capaConvResi,2.535,
mexico,peninsular,pGas,2030,capaConvResi,2.155,
mexico,peninsular,pGas,2035,capaConvResi,1.832,
mexico,peninsular,pGas,2040,capaConvResi,1.557,
mexico,oriental,pNuclear,2015,capaConvResi,4.899,
mexico,oriental,pNuclear,2020,capaConvResi,4.164,
mexico,oriental,pNuclear,2025,capaConvResi,3.54,
