region_2,technology_4,timestep_2,parameter,value
alabama,hltBiomass,2015,capaConvResi,2.9709
arizona,hltBiomass,2015,capaConvResi,6.8401
arkansas,hltBiomass,2015,capaConvResi,3.5084
california,hltBiomass,2015,capaConvResi,20.902
colorado,hltBiomass,2015,capaConvResi,10.5353
connecticut,hltBiomass,2015,capaConvResi,6.2788
delaware,hltBiomass,2015,capaConvResi,0.6595
florida,hltBiomass,2015,capaConvResi,14.4009
georgia,hltBiomass,2015,capaConvResi,6.539
idaho,hltBiomass,2015,capaConvResi,3.1592
illinois,hltBiomass,2015,capaConvResi,8.277
indiana,hltBiomass,2015,capaConvResi,4.4225
iowa,hltBiomass,2015,capaConvResi,3.2128
kansas,hltBiomass,2015,capaConvResi,2.9408
kentucky,hltBiomass,2015,capaConvResi,2.6218
louisiana,hltBiomass,2015,capaConvResi,5.272
maine,hltBiomass,2015,capaConvResi,4.6907
maryland,hltBiomass,2015,capaConvResi,3.8051
massachusetts,hltBiomass,2015,capaConvResi,18.3055
michigan,hltBiomass,2015,capaConvResi,7.0822
minnesota,hltBiomass,2015,capaConvResi,5.6223
mississippi,hltBiomass,2015,capaConvResi,1.7417
missouri,hltBiomass,2015,capaConvResi,6.4409
montana,hltBiomass,2015,capaConvResi,2.2532
nebraska,hltBiomass,2015,capaConvResi,1.9246
nevada,hltBiomass,2015,capaConvResi,2.8224
newHampshire,hltBiomass,2015,capaConvResi,4.0049
newJersey,hltBiomass,2015,capaConvResi,11.7023
newMexico,hltBiomass,2015,capaConvResi,2.1346
newYork,hltBiomass,2015,capaConvResi,26.7268
northCarolina,hltBiomass,2015,capaConvResi,7.0226
northDakota,hltBiomass,2015,capaConvResi,0.852
ohio,hltBiomass,2015,capaConvResi,8.026
oklahoma,hltBiomass,2015,capaConvResi,4.4523
oregon,hltBiomass,2015,capaConvResi,2.5664
pennsylvania,hltBiomass,2015,capaConvResi,18.2454
rhodeIsland,hltBiomass,2015,capaConvResi,2.9761
southCarolina,hltBiomass,2015,capaConvResi,3.4534
southDakota,hltBiomass,2015,capaConvResi,0.893
tennessee,hltBiomass,2015,capaConvResi,3.8732
texas,hltBiomass,2015,capaConvResi,27.558
utah,hltBiomass,2015,capaConvResi,4.734
vermont,hltBiomass,2015,capaConvResi,2.1025
virginia,hltBiomass,2015,capaConvResi,5.4239
washington,hltBiomass,2015,capaConvResi,4.4698
westVirginia,hltBiomass,2015,capaConvResi,2.2583
wisconsin,hltBiomass,2015,capaConvResi,4.1358
wyoming,hltBiomass,2015,capaConvResi,1.2286
alabama,hltBiomass,2020,capaConvResi,2.3767
arizona,hltBiomass,2020,capaConvResi,5.4721
arkansas,hltBiomass,2020,capaConvResi,2.8068
california,hltBiomass,2020,capaConvResi,16.7216
colorado,hltBiomass,2020,capaConvResi,8.4282
connecticut,hltBiomass,2020,capaConvResi,5.023
delaware,hltBiomass,2020,capaConvResi,0.5276
florida,hltBiomass,2020,capaConvResi,11.5208
georgia,hltBiomass,2020,capaConvResi,5.2312
idaho,hltBiomass,2020,capaConvResi,2.5274
illinois,hltBiomass,2020,capaConvResi,6.6216
indiana,hltBiomass,2020,capaConvResi,3.538
iowa,hltBiomass,2020,capaConvResi,2.5702
kansas,hltBiomass,2020,capaConvResi,2.3526
kentucky,hltBiomass,2020,capaConvResi,2.0974
louisiana,hltBiomass,2020,capaConvResi,4.2176
maine,hltBiomass,2020,capaConvResi,3.7526
maryland,hltBiomass,2020,capaConvResi,3.0441
massachusetts,hltBiomass,2020,capaConvResi,14.6444
michigan,hltBiomass,2020,capaConvResi,5.6658
minnesota,hltBiomass,2020,capaConvResi,4.4979
mississippi,hltBiomass,2020,capaConvResi,1.3934
missouri,hltBiomass,2020,capaConvResi,5.1527
montana,hltBiomass,2020,capaConvResi,1.8026
nebraska,hltBiomass,2020,capaConvResi,1.5397
nevada,hltBiomass,2020,capaConvResi,2.2579
newHampshire,hltBiomass,2020,capaConvResi,3.2039
newJersey,hltBiomass,2020,capaConvResi,9.3618
newMexico,hltBiomass,2020,capaConvResi,1.7077
newYork,hltBiomass,2020,capaConvResi,21.3814
northCarolina,hltBiomass,2020,capaConvResi,5.6181
northDakota,hltBiomass,2020,capaConvResi,0.6816
ohio,hltBiomass,2020,capaConvResi,6.4208
oklahoma,hltBiomass,2020,capaConvResi,3.5618
oregon,hltBiomass,2020,capaConvResi,2.0531
pennsylvania,hltBiomass,2020,capaConvResi,14.5963
rhodeIsland,hltBiomass,2020,capaConvResi,2.3809
southCarolina,hltBiomass,2020,capaConvResi,2.7627
southDakota,hltBiomass,2020,capaConvResi,0.7144
tennessee,hltBiomass,2020,capaConvResi,3.0986
texas,hltBiomass,2020,capaConvResi,22.0464
utah,hltBiomass,2020,capaConvResi,3.7872
vermont,hltBiomass,2020,capaConvResi,1.682
virginia,hltBiomass,2020,capaConvResi,4.3391
washington,hltBiomass,2020,capaConvResi,3.5758
westVirginia,hltBiomass,2020,capaConvResi,1.8067
wisconsin,hltBiomass,2020,capaConvResi,3.3086
wyoming,hltBiomass,2020,capaConvResi,0.9829
alabama,hltBiomass,2025,capaConvResi,1.7825
arizona,hltBiomass,2025,capaConvResi,4.1041
arkansas,hltBiomass,2025,capaConvResi,2.1051
california,hltBiomass,2025,capaConvResi,12.5412
colorado,hltBiomass,2025,capaConvResi,6.3212
connecticut,hltBiomass,2025,capaConvResi,3.7673
delaware,hltBiomass,2025,capaConvResi,0.3957
florida,hltBiomass,2025,capaConvResi,8.6406
georgia,hltBiomass,2025,capaConvResi,3.9234
idaho,hltBiomass,2025,capaConvResi,1.8955
illinois,hltBiomass,2025,capaConvResi,4.9662
indiana,hltBiomass,2025,capaConvResi,2.6535
iowa,hltBiomass,2025,capaConvResi,1.9277
kansas,hltBiomass,2025,capaConvResi,1.7645
kentucky,hltBiomass,2025,capaConvResi,1.5731
louisiana,hltBiomass,2025,capaConvResi,3.1632
maine,hltBiomass,2025,capaConvResi,2.8145
maryland,hltBiomass,2025,capaConvResi,2.2831
massachusetts,hltBiomass,2025,capaConvResi,10.9833
michigan,hltBiomass,2025,capaConvResi,4.2494
minnesota,hltBiomass,2025,capaConvResi,3.3734
mississippi,hltBiomass,2025,capaConvResi,1.045
missouri,hltBiomass,2025,capaConvResi,3.8646
montana,hltBiomass,2025,capaConvResi,1.3519
nebraska,hltBiomass,2025,capaConvResi,1.1548
nevada,hltBiomass,2025,capaConvResi,1.6935
newHampshire,hltBiomass,2025,capaConvResi,2.4029
newJersey,hltBiomass,2025,capaConvResi,7.0214
newMexico,hltBiomass,2025,capaConvResi,1.2808
newYork,hltBiomass,2025,capaConvResi,16.0361
northCarolina,hltBiomass,2025,capaConvResi,4.2136
northDakota,hltBiomass,2025,capaConvResi,0.5112
ohio,hltBiomass,2025,capaConvResi,4.8156
oklahoma,hltBiomass,2025,capaConvResi,2.6714
oregon,hltBiomass,2025,capaConvResi,1.5399
pennsylvania,hltBiomass,2025,capaConvResi,10.9473
rhodeIsland,hltBiomass,2025,capaConvResi,1.7857
southCarolina,hltBiomass,2025,capaConvResi,2.0721
southDakota,hltBiomass,2025,capaConvResi,0.5358
tennessee,hltBiomass,2025,capaConvResi,2.324
texas,hltBiomass,2025,capaConvResi,16.5348
utah,hltBiomass,2025,capaConvResi,2.8404
vermont,hltBiomass,2025,capaConvResi,1.2615
virginia,hltBiomass,2025,capaConvResi,3.2543
washington,hltBiomass,2025,capaConvResi,2.6819
westVirginia,hltBiomass,2025,capaConvResi,1.355
wisconsin,hltBiomass,2025,capaConvResi,2.4815
wyoming,hltBiomass,2025,capaConvResi,0.7372
alabama,hltBiomass,2030,capaConvResi,1.1884
arizona,hltBiomass,2030,capaConvResi,2.7361
arkansas,hltBiomass,2030,capaConvResi,1.4034
california,hltBiomass,2030,capaConvResi,8.3608
colorado,hltBiomass,2030,capaConvResi,4.2141
connecticut,hltBiomass,2030,capaConvResi,2.5115
delaware,hltBiomass,2030,capaConvResi,0.2638
florida,hltBiomass,2030,capaConvResi,5.7604
georgia,hltBiomass,2030,capaConvResi,2.6156
idaho,hltBiomass,2030,capaConvResi,1.2637
illinois,hltBiomass,2030,capaConvResi,3.3108
indiana,hltBiomass,2030,capaConvResi,1.769
iowa,hltBiomass,2030,capaConvResi,1.2851
kansas,hltBiomass,2030,capaConvResi,1.1763
kentucky,hltBiomass,2030,capaConvResi,1.0487
louisiana,hltBiomass,2030,capaConvResi,2.1088
maine,hltBiomass,2030,capaConvResi,1.8763
maryland,hltBiomass,2030,capaConvResi,1.5221
massachusetts,hltBiomass,2030,capaConvResi,7.3222
michigan,hltBiomass,2030,capaConvResi,2.8329
minnesota,hltBiomass,2030,capaConvResi,2.249
mississippi,hltBiomass,2030,capaConvResi,0.6967
missouri,hltBiomass,2030,capaConvResi,2.5764
montana,hltBiomass,2030,capaConvResi,0.9013
nebraska,hltBiomass,2030,capaConvResi,0.7699
nevada,hltBiomass,2030,capaConvResi,1.129
newHampshire,hltBiomass,2030,capaConvResi,1.602
newJersey,hltBiomass,2030,capaConvResi,4.6809
newMexico,hltBiomass,2030,capaConvResi,0.8539
newYork,hltBiomass,2030,capaConvResi,10.6907
northCarolina,hltBiomass,2030,capaConvResi,2.8091
northDakota,hltBiomass,2030,capaConvResi,0.3408
ohio,hltBiomass,2030,capaConvResi,3.2104
oklahoma,hltBiomass,2030,capaConvResi,1.7809
oregon,hltBiomass,2030,capaConvResi,1.0266
pennsylvania,hltBiomass,2030,capaConvResi,7.2982
rhodeIsland,hltBiomass,2030,capaConvResi,1.1905
southCarolina,hltBiomass,2030,capaConvResi,1.3814
southDakota,hltBiomass,2030,capaConvResi,0.3572
tennessee,hltBiomass,2030,capaConvResi,1.5493
texas,hltBiomass,2030,capaConvResi,11.0232
utah,hltBiomass,2030,capaConvResi,1.8936
vermont,hltBiomass,2030,capaConvResi,0.841
virginia,hltBiomass,2030,capaConvResi,2.1696
washington,hltBiomass,2030,capaConvResi,1.7879
westVirginia,hltBiomass,2030,capaConvResi,0.9034
wisconsin,hltBiomass,2030,capaConvResi,1.6543
wyoming,hltBiomass,2030,capaConvResi,0.4915
alabama,hltBiomass,2035,capaConvResi,0.5942
arizona,hltBiomass,2035,capaConvResi,1.3681
arkansas,hltBiomass,2035,capaConvResi,0.7017
california,hltBiomass,2035,capaConvResi,4.1804
colorado,hltBiomass,2035,capaConvResi,2.1071
connecticut,hltBiomass,2035,capaConvResi,1.2558
delaware,hltBiomass,2035,capaConvResi,0.1319
florida,hltBiomass,2035,capaConvResi,2.8802
georgia,hltBiomass,2035,capaConvResi,1.3078
idaho,hltBiomass,2035,capaConvResi,0.6319
illinois,hltBiomass,2035,capaConvResi,1.6554
indiana,hltBiomass,2035,capaConvResi,0.8845
iowa,hltBiomass,2035,capaConvResi,0.6426
kansas,hltBiomass,2035,capaConvResi,0.5882
kentucky,hltBiomass,2035,capaConvResi,0.5244
louisiana,hltBiomass,2035,capaConvResi,1.0544
maine,hltBiomass,2035,capaConvResi,0.9382
maryland,hltBiomass,2035,capaConvResi,0.7611
massachusetts,hltBiomass,2035,capaConvResi,3.6611
michigan,hltBiomass,2035,capaConvResi,1.4165
minnesota,hltBiomass,2035,capaConvResi,1.1245
mississippi,hltBiomass,2035,capaConvResi,0.3484
missouri,hltBiomass,2035,capaConvResi,1.2882
montana,hltBiomass,2035,capaConvResi,0.4507
nebraska,hltBiomass,2035,capaConvResi,0.385
nevada,hltBiomass,2035,capaConvResi,0.5645
newHampshire,hltBiomass,2035,capaConvResi,0.801
newJersey,hltBiomass,2035,capaConvResi,2.3405
newMexico,hltBiomass,2035,capaConvResi,0.427
newYork,hltBiomass,2035,capaConvResi,5.3454
northCarolina,hltBiomass,2035,capaConvResi,1.4046
northDakota,hltBiomass,2035,capaConvResi,0.1704
ohio,hltBiomass,2035,capaConvResi,1.6052
oklahoma,hltBiomass,2035,capaConvResi,0.8905
oregon,hltBiomass,2035,capaConvResi,0.5133
pennsylvania,hltBiomass,2035,capaConvResi,3.6491
rhodeIsland,hltBiomass,2035,capaConvResi,0.5953
southCarolina,hltBiomass,2035,capaConvResi,0.6907
southDakota,hltBiomass,2035,capaConvResi,0.1786
tennessee,hltBiomass,2035,capaConvResi,0.7747
texas,hltBiomass,2035,capaConvResi,5.5116
utah,hltBiomass,2035,capaConvResi,0.9468
vermont,hltBiomass,2035,capaConvResi,0.4205
virginia,hltBiomass,2035,capaConvResi,1.0848
washington,hltBiomass,2035,capaConvResi,0.894
westVirginia,hltBiomass,2035,capaConvResi,0.4517
wisconsin,hltBiomass,2035,capaConvResi,0.8272
wyoming,hltBiomass,2035,capaConvResi,0.2458
alabama,hltGas,2015,capaConvResi,2.4493
arizona,hltGas,2015,capaConvResi,7.3363
arkansas,hltGas,2015,capaConvResi,2.888
california,hltGas,2015,capaConvResi,32.8969
colorado,hltGas,2015,capaConvResi,11.2995
connecticut,hltGas,2015,capaConvResi,6.5734
delaware,hltGas,2015,capaConvResi,0.7492
florida,hltGas,2015,capaConvResi,16.3595
georgia,hltGas,2015,capaConvResi,7.4283
idaho,hltGas,2015,capaConvResi,3.3884
illinois,hltGas,2015,capaConvResi,16.0223
indiana,hltGas,2015,capaConvResi,8.5608
iowa,hltGas,2015,capaConvResi,4.358
kansas,hltGas,2015,capaConvResi,3.989
kentucky,hltGas,2015,capaConvResi,2.1615
louisiana,hltGas,2015,capaConvResi,4.3397
maine,hltGas,2015,capaConvResi,4.9108
maryland,hltGas,2015,capaConvResi,4.3226
massachusetts,hltGas,2015,capaConvResi,19.1644
michigan,hltGas,2015,capaConvResi,13.7095
minnesota,hltGas,2015,capaConvResi,7.6264
mississippi,hltGas,2015,capaConvResi,1.4359
missouri,hltGas,2015,capaConvResi,8.7368
montana,hltGas,2015,capaConvResi,2.4166
nebraska,hltGas,2015,capaConvResi,2.6106
nevada,hltGas,2015,capaConvResi,3.0272
newHampshire,hltGas,2015,capaConvResi,4.1928
newJersey,hltGas,2015,capaConvResi,18.5496
newMexico,hltGas,2015,capaConvResi,2.2895
newYork,hltGas,2015,capaConvResi,42.3653
northCarolina,hltGas,2015,capaConvResi,7.9777
northDakota,hltGas,2015,capaConvResi,1.1557
ohio,hltGas,2015,capaConvResi,15.5364
oklahoma,hltGas,2015,capaConvResi,3.665
oregon,hltGas,2015,capaConvResi,4.0391
pennsylvania,hltGas,2015,capaConvResi,28.9213
rhodeIsland,hltGas,2015,capaConvResi,3.1157
southCarolina,hltGas,2015,capaConvResi,3.9231
southDakota,hltGas,2015,capaConvResi,1.2114
tennessee,hltGas,2015,capaConvResi,3.1933
texas,hltGas,2015,capaConvResi,22.6848
utah,hltGas,2015,capaConvResi,5.0774
vermont,hltGas,2015,capaConvResi,2.2011
virginia,hltGas,2015,capaConvResi,6.1615
washington,hltGas,2015,capaConvResi,7.0347
westVirginia,hltGas,2015,capaConvResi,2.5654
