errStatus,section,location,message
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2020 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2025 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2030 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2035 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2040 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2045 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2050 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2020 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2025 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2030 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2035 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2040 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2045 (lvl 1)
yellow,parameter read-in,modelData/technology/par_efficiency.csv,values provided for undefined set 2050 (lvl 1)
green,timestep mapping,,superordinate dispatch level provided via options was used
yellow,technology mapping,carrier,technology y has no output
red,technology mapping,type,"unknown technology type  used, allowed are: mature, emerging, stock"
green,parameter read-in,validity check,non-unique entries discovered for capaExcResi
green,parameter read-in,validity check,non-unique entries discovered for costExpExc
