timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2015,canada < canada_,usa < idaho,power,7.189042740721181,expExc
10th < 2020,canada < canada_,usa < idaho,power,7.189042740721181,expExc
10th < 2015,canada < canada_,usa < maine,power,4.206350381991235e-11,expExc
10th < 2020,canada < canada_,usa < maine,power,4.206350381991235e-11,expExc
10th < 2015,canada < canada_,usa < michigan,power,0.386351242769177,expExc
10th < 2020,canada < canada_,usa < michigan,power,0.386351242769177,expExc
10th < 2015,canada < canada_,usa < minnesota,power,3.6780376570650616e-10,expExc
10th < 2020,canada < canada_,usa < minnesota,power,3.6780376570650616e-10,expExc
10th < 2015,canada < canada_,usa < montana,power,8.679006125113645e-10,expExc
10th < 2020,canada < canada_,usa < montana,power,8.679006125113645e-10,expExc
10th < 2015,canada < canada_,usa < newHampshire,power,0.5858618383351485,expExc
10th < 2020,canada < canada_,usa < newHampshire,power,0.5858618383351485,expExc
10th < 2015,canada < canada_,usa < newYork,power,3.779527974673331,expExc
10th < 2020,canada < canada_,usa < newYork,power,3.779527974673331,expExc
10th < 2015,canada < canada_,usa < northDakota,power,0.20273034603778498,expExc
10th < 2020,canada < canada_,usa < northDakota,power,0.20273034603778498,expExc
10th < 2015,canada < canada_,usa < ohio,power,10.571722349785011,expExc
10th < 2020,canada < canada_,usa < ohio,power,10.571722349785011,expExc
10th < 2015,canada < canada_,usa < vermont,power,0.038900016577394454,expExc
10th < 2020,canada < canada_,usa < vermont,power,0.038900016577394454,expExc
10th < 2015,canada < canada_,usa < washington,power,8.266898491538543,expExc
10th < 2020,canada < canada_,usa < washington,power,8.266898491538543,expExc
10th < 2015,canada < canada_,usa < wisconsin,power,0.5543280673252134,expExc
10th < 2020,canada < canada_,usa < wisconsin,power,0.5543280673252134,expExc
10th < 2015,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,3.2241687257430414,expExc
10th < 2020,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,3.2241687257430414,expExc
10th < 2015,mexico < bajaCalifornia,mexico < noroeste,power,11.143353481103418,expExc
10th < 2020,mexico < bajaCalifornia,mexico < noroeste,power,11.143353481103418,expExc
10th < 2015,mexico < bajaCalifornia,usa < california,power,13.159777828342357,expExc
10th < 2020,mexico < bajaCalifornia,usa < california,power,13.159777828342357,expExc
10th < 2015,mexico < bajaCaliforniaSur,mexico < noroeste,power,4.490168172771925,expExc
10th < 2020,mexico < bajaCaliforniaSur,mexico < noroeste,power,4.490168172771925,expExc
10th < 2015,mexico < central,mexico < occidental,power,0.7678203057565824,expExc
10th < 2020,mexico < central,mexico < occidental,power,0.7678203057565824,expExc
10th < 2015,mexico < central,mexico < oriental,power,2.809837290103585,expExc
10th < 2020,mexico < central,mexico < oriental,power,2.809837290103585,expExc
10th < 2015,mexico < noreste,mexico < norte,power,1.657945326576819e-11,expExc
10th < 2020,mexico < noreste,mexico < norte,power,1.657945326576819e-11,expExc
10th < 2015,mexico < noreste,mexico < occidental,power,1.0291464058281698e-9,expExc
10th < 2020,mexico < noreste,mexico < occidental,power,1.0291464058281698e-9,expExc
10th < 2015,mexico < noreste,mexico < oriental,power,2.700935642547747e-9,expExc
10th < 2020,mexico < noreste,mexico < oriental,power,2.700935642547747e-9,expExc
10th < 2015,mexico < noroeste,mexico < norte,power,1.1091046945804386,expExc
10th < 2020,mexico < noroeste,mexico < norte,power,1.1091046945804386,expExc
10th < 2015,mexico < noroeste,mexico < occidental,power,13.621411378950313,expExc
10th < 2020,mexico < noroeste,mexico < occidental,power,13.621411378950313,expExc
10th < 2015,mexico < norte,mexico < occidental,power,1.075369388698453e-9,expExc
10th < 2020,mexico < norte,mexico < occidental,power,1.075369388698453e-9,expExc
10th < 2015,mexico < occidental,mexico < oriental,power,10.844811627575215,expExc
10th < 2020,mexico < occidental,mexico < oriental,power,10.844811627575215,expExc
10th < 2015,mexico < oriental,mexico < peninsular,power,0.6761939715890436,expExc
10th < 2020,mexico < oriental,mexico < peninsular,power,0.6761939715890436,expExc
10th < 2015,usa < alabama,usa < florida,power,1.3435984809219064,expExc
10th < 2020,usa < alabama,usa < florida,power,1.3435984809219064,expExc
10th < 2015,usa < alabama,usa < georgia,power,9.398379279214418e-12,expExc
10th < 2020,usa < alabama,usa < georgia,power,9.398379279214418e-12,expExc
10th < 2015,usa < alabama,usa < mississippi,power,1.167181132164051e-11,expExc
10th < 2020,usa < alabama,usa < mississippi,power,1.167181132164051e-11,expExc
10th < 2015,usa < alabama,usa < tennessee,power,1.7539380583939936e-11,expExc
10th < 2020,usa < alabama,usa < tennessee,power,1.7539380583939936e-11,expExc
10th < 2015,usa < arizona,usa < california,power,5.217361868224993,expExc
10th < 2020,usa < arizona,usa < california,power,5.217361868224993,expExc
10th < 2015,usa < arizona,usa < colorado,power,0.11281048434147378,expExc
10th < 2020,usa < arizona,usa < colorado,power,0.11281048434147378,expExc
10th < 2015,usa < arizona,usa < nevada,power,5.857476974956051e-11,expExc
10th < 2020,usa < arizona,usa < nevada,power,5.857476974956051e-11,expExc
10th < 2015,usa < arizona,usa < newMexico,power,5.234029932746079,expExc
10th < 2020,usa < arizona,usa < newMexico,power,5.234029932746079,expExc
10th < 2015,usa < arizona,usa < utah,power,7.85244805453105e-11,expExc
10th < 2020,usa < arizona,usa < utah,power,7.85244805453105e-11,expExc
10th < 2015,usa < arkansas,usa < louisiana,power,1.3741158881411044e-11,expExc
10th < 2020,usa < arkansas,usa < louisiana,power,1.3741158881411044e-11,expExc
10th < 2015,usa < arkansas,usa < mississippi,power,1.4273909386269223e-11,expExc
10th < 2020,usa < arkansas,usa < mississippi,power,1.4273909386269223e-11,expExc
10th < 2015,usa < arkansas,usa < missouri,power,0.5716127641974812,expExc
10th < 2020,usa < arkansas,usa < missouri,power,0.5716127641974812,expExc
10th < 2015,usa < arkansas,usa < oklahoma,power,1.6598063727752003e-11,expExc
10th < 2020,usa < arkansas,usa < oklahoma,power,1.6598063727752003e-11,expExc
10th < 2015,usa < arkansas,usa < tennessee,power,1.6548171052528885e-11,expExc
10th < 2020,usa < arkansas,usa < tennessee,power,1.6548171052528885e-11,expExc
10th < 2015,usa < arkansas,usa < texas,power,1.6417071334402758e-11,expExc
10th < 2020,usa < arkansas,usa < texas,power,1.6417071334402758e-11,expExc
10th < 2015,usa < california,usa < nevada,power,0.09468931297019435,expExc
10th < 2020,usa < california,usa < nevada,power,0.09468931297019435,expExc
10th < 2015,usa < california,usa < oregon,power,4.888577103509856,expExc
10th < 2020,usa < california,usa < oregon,power,4.888577103509856,expExc
10th < 2015,usa < california,usa < utah,power,2.795893044179727,expExc
10th < 2020,usa < california,usa < utah,power,2.795893044179727,expExc
10th < 2015,usa < colorado,usa < kansas,power,2.7587818014564453e-11,expExc
10th < 2020,usa < colorado,usa < kansas,power,2.7587818014564453e-11,expExc
10th < 2015,usa < colorado,usa < nebraska,power,1.5210362021397885,expExc
10th < 2020,usa < colorado,usa < nebraska,power,1.5210362021397885,expExc
10th < 2015,usa < colorado,usa < newMexico,power,2.2280533164673944e-11,expExc
10th < 2020,usa < colorado,usa < newMexico,power,2.2280533164673944e-11,expExc
10th < 2015,usa < colorado,usa < oklahoma,power,3.4453223062906164,expExc
10th < 2020,usa < colorado,usa < oklahoma,power,3.4453223062906164,expExc
10th < 2015,usa < colorado,usa < utah,power,2.0669385271798358e-11,expExc
10th < 2020,usa < colorado,usa < utah,power,2.0669385271798358e-11,expExc
10th < 2015,usa < colorado,usa < wyoming,power,0.1931846714596759,expExc
10th < 2020,usa < colorado,usa < wyoming,power,0.1931846714596759,expExc
10th < 2015,usa < connecticut,usa < massachusetts,power,9.69550904096722e-12,expExc
10th < 2020,usa < connecticut,usa < massachusetts,power,9.69550904096722e-12,expExc
10th < 2015,usa < connecticut,usa < newYork,power,1.0141561162952868e-11,expExc
10th < 2020,usa < connecticut,usa < newYork,power,1.0141561162952868e-11,expExc
10th < 2015,usa < connecticut,usa < rhodeIsland,power,9.919885277019383e-12,expExc
10th < 2020,usa < connecticut,usa < rhodeIsland,power,9.919885277019383e-12,expExc
10th < 2015,usa < delaware,usa < maryland,power,1.1433914116778463,expExc
10th < 2020,usa < delaware,usa < maryland,power,1.1433914116778463,expExc
10th < 2015,usa < delaware,usa < newJersey,power,1.6149476958989955e-10,expExc
10th < 2020,usa < delaware,usa < newJersey,power,1.6149476958989955e-10,expExc
10th < 2015,usa < delaware,usa < pennsylvania,power,1.2201638586025696e-9,expExc
10th < 2020,usa < delaware,usa < pennsylvania,power,1.2201638586025696e-9,expExc
10th < 2015,usa < florida,usa < georgia,power,0.6069907574068102,expExc
10th < 2020,usa < florida,usa < georgia,power,0.6069907574068102,expExc
10th < 2015,usa < georgia,usa < northCarolina,power,1.8228727681843628e-11,expExc
10th < 2020,usa < georgia,usa < northCarolina,power,1.8228727681843628e-11,expExc
10th < 2015,usa < georgia,usa < southCarolina,power,1.6921594838306923e-11,expExc
10th < 2020,usa < georgia,usa < southCarolina,power,1.6921594838306923e-11,expExc
10th < 2015,usa < georgia,usa < tennessee,power,1.8010637626622398e-11,expExc
10th < 2020,usa < georgia,usa < tennessee,power,1.8010637626622398e-11,expExc
10th < 2015,usa < idaho,usa < montana,power,9.840082686857562e-12,expExc
10th < 2020,usa < idaho,usa < montana,power,9.840082686857562e-12,expExc
10th < 2015,usa < idaho,usa < nevada,power,3.473704259252055,expExc
10th < 2020,usa < idaho,usa < nevada,power,3.473704259252055,expExc
10th < 2015,usa < idaho,usa < oregon,power,0.3398359118389072,expExc
10th < 2020,usa < idaho,usa < oregon,power,0.3398359118389072,expExc
10th < 2015,usa < idaho,usa < utah,power,0.9394011534740072,expExc
10th < 2020,usa < idaho,usa < utah,power,0.9394011534740072,expExc
10th < 2015,usa < idaho,usa < washington,power,9.678648380193982e-12,expExc
10th < 2020,usa < idaho,usa < washington,power,9.678648380193982e-12,expExc
10th < 2015,usa < idaho,usa < wyoming,power,1.0511179790860159e-11,expExc
10th < 2020,usa < idaho,usa < wyoming,power,1.0511179790860159e-11,expExc
10th < 2015,usa < illinois,usa < indiana,power,9.69728172622573e-12,expExc
10th < 2020,usa < illinois,usa < indiana,power,9.69728172622573e-12,expExc
10th < 2015,usa < illinois,usa < iowa,power,2.2635251232567998e-11,expExc
10th < 2020,usa < illinois,usa < iowa,power,2.2635251232567998e-11,expExc
10th < 2015,usa < illinois,usa < kentucky,power,1.401988168269761,expExc
10th < 2020,usa < illinois,usa < kentucky,power,1.401988168269761,expExc
10th < 2015,usa < illinois,usa < michigan,power,1.8819640659439254e-9,expExc
10th < 2020,usa < illinois,usa < michigan,power,1.8819640659439254e-9,expExc
10th < 2015,usa < illinois,usa < missouri,power,2.146292849921997,expExc
10th < 2020,usa < illinois,usa < missouri,power,2.146292849921997,expExc
10th < 2015,usa < illinois,usa < wisconsin,power,1.0300218627545757e-11,expExc
10th < 2020,usa < illinois,usa < wisconsin,power,1.0300218627545757e-11,expExc
10th < 2015,usa < indiana,usa < kentucky,power,2.8251146640039515e-7,expExc
10th < 2020,usa < indiana,usa < kentucky,power,2.8251146640039515e-7,expExc
10th < 2015,usa < indiana,usa < michigan,power,1.512727864863556e-11,expExc
10th < 2020,usa < indiana,usa < michigan,power,1.512727864863556e-11,expExc
10th < 2015,usa < indiana,usa < ohio,power,9.737381331750934e-12,expExc
10th < 2020,usa < indiana,usa < ohio,power,9.737381331750934e-12,expExc
10th < 2015,usa < iowa,usa < minnesota,power,2.111650793380089e-11,expExc
10th < 2020,usa < iowa,usa < minnesota,power,2.111650793380089e-11,expExc
10th < 2015,usa < iowa,usa < missouri,power,3.519696340318704e-10,expExc
10th < 2020,usa < iowa,usa < missouri,power,3.519696340318704e-10,expExc
10th < 2015,usa < iowa,usa < nebraska,power,9.118734795100761e-12,expExc
10th < 2020,usa < iowa,usa < nebraska,power,9.118734795100761e-12,expExc
10th < 2015,usa < iowa,usa < southDakota,power,1.9268694263204694e-11,expExc
10th < 2020,usa < iowa,usa < southDakota,power,1.9268694263204694e-11,expExc
10th < 2015,usa < iowa,usa < wisconsin,power,2.282624726638625e-11,expExc
10th < 2020,usa < iowa,usa < wisconsin,power,2.282624726638625e-11,expExc
10th < 2015,usa < kansas,usa < missouri,power,1.0382483180185825e-11,expExc
10th < 2020,usa < kansas,usa < missouri,power,1.0382483180185825e-11,expExc
10th < 2015,usa < kansas,usa < nebraska,power,2.204132487627515e-10,expExc
10th < 2020,usa < kansas,usa < nebraska,power,2.204132487627515e-10,expExc
10th < 2015,usa < kansas,usa < oklahoma,power,1.0558335466214854e-9,expExc
10th < 2020,usa < kansas,usa < oklahoma,power,1.0558335466214854e-9,expExc
